Comment,sentiment
I love the guy. Thanks Nelk Boys for bringing him by my podcast.,5 stars
"Never seen Kyle SO smiley I love it. Throughout this entire video, Just genuine happiness",5 stars
I’ve never smiled for 36 min straight. I love this guy,5 stars
Hasbulla telling Kyle ''Relax bro'' has to be one of the funniest things ever,5 stars
Kyle being a proud dad for 37 minutes ,5 stars
Steiny needs to keep a puppy on a leash every time Hasbulla is around ,3 stars
You guys put together such a good trip for Hasbulla! W NELK! ,5 stars
All those guys were grateful for the trip y’all put together.  That’s cool as hellb,5 stars
Kyle straight up holding up the brand name and being canadian is great,5 stars
Hearing Kyle at sea world say so genuinely “we have the best job” warmed my heart bro. He earned all this,5 stars
The way Hasbulla just said he was joking with Steiny at the end was heartwarming,2 stars
"Hasbullah has two moods :
1. Extreme laughter 
2.”oh shit”",1 star
Kyle looks like a proud father throughout this whole video ,5 stars
Hasbulla clinged on to kyle like he was his big brother. I love this,5 stars
His laugh is so contagious ,1 star
Nothing but respect for Kyle! Love from the UK brother! 🇬🇧️,5 stars
Hasbulla is now cancelled for animal abuse.,1 star
I love Hasbullas energy. What an awesome dude. You guys really did a great job capturing his essence. Great vid!,5 stars
"NO MATTER HOW SCARED HE GETS, ALWAYS WALKS LIKE A KING.",4 stars
i smiled throughout the whole video. hasbullah's presence is a blessing,5 stars
this video just lightened my day he's so funny and his laugh is contagious,5 stars
Can we just take in how sensational and humble hasbulla is whilst also giving us amazing content,5 stars
I laughed and smiled the entire time. God bless everyone who made this trip happen. You can see how much fun he had and how much he felt the love.,5 stars
"This 100% one of the best videos of this year already. MrBeast might got the budget, but Hasbulla and Nelk got our hearts. There wasn't a moment without a smile on my face!",5 stars
You guys are so entertaining that it sometimes distracts how awesome the editing is. I love your guys’s shit.,5 stars
Bro I legit had a smile on the entire time lmaooooo. I love how much he trusts Kyle when he's scared and then just rips steiny like they've been bros for years. Keep up the good work fellas!,5 stars
I haven't had this much fun watching a Nelk video in years. Thank you for putting this together!,5 stars
What Nell boys have done for this guy is absolutely incredible and that’s why I will be supporting them from know on,5 stars
The way you make Hasbulla so happy is honestly amazing ,5 stars
Thank you to the Nelk Boys crew for bringing Hasbulla to Adrenaline Mountain! A great memory for our team.,5 stars
"Love the direction this is going in, keep it up lads.",5 stars
Bro Hasbulla's energy is just so pure. His laughter and enjoyment with the dolphins just puts a smile on your face.,5 stars
"I smiled for 36 minutes straight, thank you guy and thank you HASBULLA ",5 stars
literally smiled ear to ear the whole video!!!! love Hasbulla and Nelk,5 stars
Bring him back this is the best vid so far smiled and laughed the whole way through,5 stars
"You can really tell that Kyle is such a genuine guy, Make's be so happy that he's taking care of hasbulla and everyone involved in this crew.",5 stars
I don't know why i'm smiling throughout the whole video,2 stars
"I couldn't stop smiling and laughing. 
The whole video ",1 star
"Awesome video boys, literally made Hasbulla’s first American trip the best ever! ",5 stars
very wholesome video boys love what you guys have been doing recently!!!,5 stars
"You can tell he really enjoys being around Kyle, cause Kyle treats it like they're just hanging out as bro's, and they just happen to film cause good content will come naturally. Not like all the forced interactions he has to go through all the time.",4 stars
good to see my man Kyle spend time with his son ,4 stars
"he is so funny and humble,  lovely guy ",5 stars
So nice of you to grant the kid his Make-A-Wish!,5 stars
This video had me smiling from start to end!,5 stars
Had me laughing and smiling the whole time. Love the boys eh ,5 stars
"Love how much hasbulla respects and trusts Kyle. He’s always with his translator/driver/whatever he is, except when kyles around. Genuine bond and friendship",5 stars
"Bro I can’t stop smiling, This episode is so fckin great ",5 stars
I really love the content we been getting from the boys keep sending ,5 stars
Kyle had big dad energy this whole video. I love it.,5 stars
"felt like I spent the 2 weeks with you guys, that was awesome, HASBI the best",5 stars
I watched your last video of your visit to Rus where you met Hasbi. Thank you for being such an amazing host and putting all this together for him. You won Hasbullah's heart along with all of ours.,5 stars
Yo honestly watching how genuinely happy Kyle is around hasbulla and how happy hasbulla is to hangout with Kyle/ the boys is absolutely heartwarming. Hope this duo stays together for a long time. Not to mention the content is absolutely 10/10,5 stars
YESSSSSS WE NEED MORE VIDEOS WITH HASBULLA I LOVE THIS GUY SM the vibes are just insane,1 star
I smiled this entire video. Thanks nelk boys,5 stars
"You guys gave him an awesome time! You can tell how happy he was 
Nelk boys with another W",5 stars
This made my day so thank you guys nd keep doing what ya do best,5 stars
Everybody that’s a fan of NELK and look forward to their videos should be thanking Kyle because he’s treated NELK like his baby. He’s the only one that’s been keeping Nelk going and hasn’t ventured off to do his own channel and his own shit like everyone else. Jesse gave up Nelk and Steve is doing his own thing and got banned from YouTube. Yeah maybe they’re around here and there behind the scenes but we don’t see or know what’s going on behind the scenes. So Salute 🫡 to the Canadian Monster himself Kyle.,1 star
Honestly I was smiling the whole time. It’s so wholesome seeing Hasbulla living his best life.,5 stars
Always showing hospitality! The crazy stuff you guys did will surely leave Hasbulla and the Crew some really memorable moments. Loved every minute man!,5 stars
I didn't know about the nelk boys until I watched the hasbulla videos and I've never been happier to press the subscribe button. Absolute legends for this!,5 stars
"Hearing steiny say ""Friendship is more important than followers"" is truly mind blowing....",1 star
"Also like how they respect him and his beliefs throughout all this, great job boys",5 stars
"I love Hasbulla, he always makes me smile<3",5 stars
You can tell hasbulla had a good time. It's really cool to see the nelk boys with him and see him genuinely happy.,5 stars
hands down best video I've watched all year. nothing but smiles all the way around,5 stars
"in all seriousness, thanks for treating him right and it was funny as hell - I am officially buying a t-shirt now",5 stars
"Man this was the best video in a long time, he'll never forget this day",5 stars
"This new layout for the videos is truly 2nd too none love the new style feels like I’m there in the videos feels very genuine and exactly what you guys are looking for .. keep up the great work boys can’t wait to see what’s next!!! , also glad you guys returned the favour to hasby he seems to really enjoy your guys company what a great addition who better to show him America then nelk. Saying hello from fort Mac alberta ",5 stars
Best Nelk vid in a while. Keep it up boys  smiled the whole 36 mins,5 stars
"Thank you Kyle for representing America and showing them some true hospitality, warms my heart",5 stars
First video of this length I’ve seen start to finish in a long time. That goodbye had me in my feels  BRING HIM BACK SOON PLEASE,5 stars
"Great video, nice to see people come together from nation to nation. ",5 stars
this made my day much better thank you so much ️,5 stars
"I can’t believe 2 weeks and you just give 30 min video . Wtf . I could’ve watched this for hours . Hasbula’s laugh is the best , I love seeing him so happy , he loves you guys",5 stars
you guys CRUSHED IT he will remember this trip for the rest of his life!!,5 stars
"The way hasby grabbed kyles arm when he got scared was heart warming, Kyle is such a good dude to all his people ",5 stars
Nice to see some wholesome content from the NELK boys,4 stars
"This is the content internet needs, only good energy and laugh",3 stars
Man that looks like so much fun! ,5 stars
"Absolutely hilarious, I need to see more of this!",5 stars
U can’t help but get happy when u hear his laugh,4 stars
"To the NELK team , we need longer a little more unedited videos so we can see all the cool shit going on , sometimes even when there is nothing going on it’s cool to just see the little shit in one vid . WE LOVE YOU GUYS AND WISH THE BEST !",5 stars
I love these videos. You can feel they really love Hasbu and his people,5 stars
"I could watch Hazy for hours,what a joy to watch.",5 stars
His laugh is contagious,1 star
"Man, Hasbullah seems like such a genuine dude. Let's get more of him. Great job Nelk boys",5 stars
Man what a great video  everyone was having a blast I was smiling the whole video ️,5 stars
"Kyle is such a genuine person and it really shows with hasbulla.. Kyle is the only person from the beginning of nelk to not give up and he deserves his flowers.. 

Keep going Kyle and don’t let anyone stop you",5 stars
Hahaha this is actually awesome. You treated him well boys,5 stars
Fantastic video! Glad they had a great time and hope the next visit is as amazing!,5 stars
"You guys are awesome! I’ve met Hasbulla once, during some UFC filming in Moscow, and he is so sincere and a 
pure fun",5 stars
"i could not stop smiling throughout this video, great stuff.",5 stars
"Kyle you're such a great person and content creator.
Steiny, you're growing on me",5 stars
"When you see Americans, Canadians, and Russians getting together and genuinely having emotions with each other like this, it makes forget all the problems between the governments and shows you the reality of human beings. Loved every second of this videos. ️",5 stars
I haven't laughed so hard in a while. Awesome video.,5 stars
That Bus ride made me lose my shit laughing!  Loved this video boys!,5 stars
 5:12 the tiny Kicks had me dead bruh. Hasbulla is a humble and awesome dude!,5 stars
"Easily my favourite video on YouTube. y’all are crushing it, shits so deadly!",5 stars
It’s great seeing you guys mature and evolve. The last few videos have been different in the best way,5 stars
that was amazing i couldnt stop laughing/smiling the whole time,5 stars
absolutely hands down best video ! legit laughed smiled and had so much fun watching! can't wait for more!,5 stars
You guys legit live the dream life keep up the hard work ,5 stars
"Love this content, was laughing through out the whole video!",5 stars
These videos make life worth it,5 stars
the relationship kyle and hasbulla have on adventures is amazing,5 stars
How can you not love that little legend.,1 star
Hasbullah and his friends can always be guests on the show  good guys,5 stars
What a lovely journey boys!,5 stars
hasbulla needs a tv show hes so funny,5 stars
Big fan of Hasy what a trip can't wait for the next series with him again,5 stars
"I didn't want it to end, probably the best video yall have ever put out.",5 stars
The world would never go to war with other people if they were like NELK and Hasbulla,5 stars
You know who doesn’t love Hasbulla? His cat,1 star
Love his genuine happiness around tye dolphin,5 stars
Use to watch these guys since the coke prank and not gonna lie Kyle has matured a lot love the vid keep sending !,5 stars
Doing stuff with Hasbulla could be an entire series! Kyle’s a genius!,5 stars
"Yea this was incredible to watch, we need more!",5 stars
9:27 the way he put him on the spot is just hilarious,5 stars
This has to be the best episode in years,5 stars
I love Hasby so much I swear. He makes me smile every single time I see him ️️️. 10/10 video.,5 stars
kyle and hasbullah friendship i would watch everyday.,4 stars
Hasbulla’s laugh is contagious and the “Relax Bro” is the best!,5 stars
what a great video I am Canadian too my parents from Poland! Next time you need to bring Hasbulla to Canada! you need to make more videos like this so people can get along! eh?,5 stars
"Nah man, him being scared of the puppies made my day!",3 stars
One of my favorite videos!! Was dying the whole video!!,5 stars
Kyle Nelk love you guys for doing this. You can tell you guys genuinely care for him.,5 stars
This video made me smile so hard ,1 star
People don’t understand Nelk don’t have to do prank videos no more. They built what they built and it’s amazing. I’ve watched them for many years and to see them at company level is amazing!,5 stars
Kyle would actually be a great happy dad,4 stars
This is my 38th time watching this video I can’t get enough of it.  Nelk boys keep up the good work ,1 star
I don’t think I stopped smiling throughout this whole video and I’m sad it’s over bro,2 stars
this video couldn’t stop making me laugh but mannn i miss the back to back pranks in a single video style instead of traveling the world doing crazy shi,1 star
I'm so happy for hasbulla. Thank you guys ,5 stars
"This was beautiful. No matter how famous he is or what he does, he will always remember this. Mad respect, different culture same love. Fuck yeah",5 stars
This is my favorite Nelk video by far. Let's go boys!!,5 stars
"He really likes Kyle it seems. And Kyle seems to really like him. I love it when pure joy comes from experiencing the joy of others. Loved this video, you really planned a great time for him. May Allah bless you for that. Died laughing when he replied ""Elon Musk"" in a millisecond like it wasnt even a joke, he was hoping to meet Elon haha.",3 stars
"The way you do sponsors is really good! I usually skip through ads, but I didn’t even care while watching yours. Very nice ",5 stars
"This was one of the most feel good videos I’ve ever watched. He looks to all you guys as Big brothers, thanks for showing him a good time",5 stars
Omg the dichotomy between hasbulla with the knife & at Disneyland was everything!! I literally thought he was going to shank Mickey ,1 star
The love for cars Hasbulla has is magical.,5 stars
hasbulla saying relax bro was so hillarious im dying,1 star
Hasby telling Kyle “ hey relax bro” ,5 stars
"Hands down, the best video NELK ever made. Insane quality of content. And this video made me super happy!",5 stars
You can tell that the boys genuinely love Hasbulla. I think we all were sad to see him leave.,5 stars
Smile on my face the entire video! Keep it up,5 stars
"had me smilling the entire vid, hasbulla x nelk era is too hard",2 stars
One thing I love about those Russian guys is they have a strong code of respect.. you’ll always go far in life when you respect a toilet cleaner the same way you respect a billionaire,5 stars
Kyle’s like down to do anything! I love it,5 stars
Nelk has came so far I’m glad I’ve been here from the start,5 stars
Hasbullas laugh is so addicting ,5 stars
Absolute banger!!! Loved every second,5 stars
U gotta do this again man i know it's cost u a lot but fair play to u Absolutely love it ,5 stars
Had me laughing the whole time good shit boys,4 stars
"So much funny moment with Hasbulla,the Hasbulla x Dolphin moment was hilarious, please bring him to Canada Kyle",5 stars
I love the joy and happiness Hasbullah has for his adventures and how he stays humble and excited for all the people he meets. Protect this man at all costs. I cried watching this. Thanks for making our week better.,5 stars
"Favorite thing about Kyle... Yeah he's a great talent scout and all.. between: Stevewilldoit, Salim the dream, Steiny, Bradley Martyn, bringing Cousin Jay on board, and then all the editors and videographers.... But the coolest thing about it all with Kyle is: he brought his hometown friend onto Nelk.. the Sender Mr. Jimmy Gamble$!!! Stud!!! That guy's energy so contagious everytime Jimmy Gambles in a Full Send video, it just seems to be better. Good for you Kyle for bringing along the high school friend that you weren't willing to leave behind. That right there gives you the ability to sing those Drake songs.. I started from the bottom got the whole team here. Call is a boss, marketing genius, creative genius, and the talent all-in-one and Forbes is looking really hard at the leader of Nelk right now. When a person can take their goofy highschool friend and turn them into a superstar, it's easy to see that there is longevity in nelk boys full send. Not everybody can do with Jimmy Gambles does. Most valuable player, 2023, go ahead and give him the ",5 stars
Hasbulla is a cure for depression. You can't not smile at the little guy.,4 stars
I didn't expect I was gonna cry at the end. Dang it ,2 stars
This my favourite video ever made in youtube love this guys and love the linkup between hasbulla and you guys,5 stars
"Gonna miss this lil chad, what a amazing dude",5 stars
As a Muslim love how respectful Kyle and the boys were about drinking around Hasbi and the crew. That aside love the content and everything about you boys. All the love and support from sauga back home !,5 stars
the dude who's always getting picked on is actually the funniest dude of them all - love his one liners,5 stars
"Its crazy how Kyle is still the funniest one despite being a ceo and more of a boss xD ""Boyz are about to get carbon monoxide poisoining eh?"" lmao",4 stars
This was the best video ever! I was smiling and laughing the whole fucking time~love your shit guys!,5 stars
One of the beat videos i have watched on youtube in a while. Thank you Nelk.,5 stars
The vibes in this whole vid are good shit.,4 stars
Hasbi’s laugh kills me. His and Kyles relationship is the best man. Kyle genuinely loves the guy.,5 stars
best video ever! Hasbulla is the best with u guys. please keep doing more with Hasby. I cried at the end lol,5 stars
Lmaooo after watching this it has showed me that I in fact need a hasbulla going on adventures series ,2 stars
Calling on Gabe while getting bullied by Hasbulla is fucking hilarious! ,5 stars
This presentation of Hasbulla is Goofy  Such a wholesome Lil bro,5 stars
I feel like this is what a Nelk make a wish video would be like.,5 stars
I was smiling ear to ear the whole video... never seen such a wholesome video that had me laughing the whole time:) Hasbulla is hilarious and seeing him so happy/enjoying life is contagious.. man I didn't want this video to end! CAN'T WAIT FOR THE NEXT PART OF THIS SERIES!!,5 stars
"the boys should secretly take russian lessons and next time he comes, start speaking little bit russian with him. that would be the dopest shit ever",1 star
Bro he's an absolute legend man this video was it,5 stars
When he laughed at the puppies in the cages ,1 star
"Normally, l never watch this kind of videos or even make comments but this one has changed me. This video made me smile ",5 stars
Hasbullah saying look there's African Americans is hilarious ,5 stars
Bro the fact that he’s having so much fun in bass pro shops is a perfect reflection of how everybody loves him,5 stars
"I think they both have done so such more each other..they bring fun for hasbi, and he brings peace for them... you see how much it means for Kyle he's there...",5 stars
How is this so wholesome ,5 stars
NELK’s videography is legit next level,4 stars
That’s a banger for the books boys!! Nice work!,5 stars
Nothing better than seeing these guys enjoy life GOLD,5 stars
Lil mans laugh is contagious he may be a menace but I was smiling the entire video,1 star
